1/02/2004	haiti (R)
8/02/2004	guatemala 1963-1996 - 1
6/03/2004	guatemala 1963-1996 - 2 
3/03/2004	kadhafi - 1
0/03/2004	kadhafi - 2
7/03/2004	abou nidal 
3/04/2004	srebrenica - 1 
0/04/2004	srebrenica - 2 
7/04/2004	la politique secrete des britanniques en irlande du nord 
4/04/2004	l'operation tigre 
1/05/2004	hobeika 
8/05/2004	ferdinand marcos 
5/05/2004	gabriele gast 
2/05/2004	l'assassinat de jean zay par la milice 
9/05/2004	la colonie dignidad, une secte neo-nazie au chili 
5/06/2004	andropov 
2/06/2004	1983, l'operation ryan 
9/06/2004	1983, l'invasion de l'ile de la grenade par les americains 
6/06/2004	le groupe terroriste grec : 17 novembre 
3/07/2004	le docteur petiot (R)
0/07/2004	1956, budapest - 1 (R)
7/07/2004	1956, budapest - 2 (R)
4/07/2004	pablo escobar (R)
1/07/2004	1988, la mort du president pakistanais zia ul haq (R)
7/08/2004	les hmongs du laos et la cia (R)
4/08/2004	gabriele gast (R)
1/08/2004	l'assassinat de jfk - 1 (R)
8/08/2004	l'assassinat de jfk - 2 (R)
4/09/2004	l'arabie saoudite 
1/09/2004	le portugal - 1 : l'affaire du santa maria 
8/09/2004	le portugal - 2 : la revolution des oeillets 
5/09/2004	klaus barbie - 1
2/10/2004	klaus barbie - 2
9/10/2004	nepal - 1
6/10/2004	nepal - 2
3/10/2004	georges guingouin 
0/10/2004	la georgie - 1
6/11/2004	la georgie - 2
3/11/2004	tchad - 1
0/11/2004	tchad - 2
7/11/2004	1970, septembre noir 
4/12/2004	dien bien phu 
1/12/2004	iyad allawi, le 1er ministre irakien 
8/12/2004	abou moussad zarkawi 
5/12/2004	bizerte 
1/01/2005	kaarlo tuomi 
8/01/2005	la fraction armee rouge - 1
5/01/2005	la fraction armee rouge - 2
2/01/2005	le docteur khan et la bombe pakistanaise - 1
9/01/2005	le docteur khan et la bombe pakistanaise - 2
5/02/2005	le sentier lumineux 
2/02/2005	le japon - 1 : les yakuzas 
9/02/2005	le japon - 2 : l'affaire lockheed 
6/02/2005	le timor oriental, 1975
5/03/2005	l'affaire louis hazan 
2/03/2005	1954, la guerre secrete franco-americaine en indochine 
9/03/2005	l'holocauste : qui savait ? - 1 
6/03/2005	l'holocauste : qui savait ? - 2
2/04/2005	heinrich muller 
9/04/2005	houphouet-boigny - 1
6/04/2005	houphouet-boigny - 2
3/04/2005	la guerre du liban - 1
0/04/2005	la guerre du liban - 2
7/05/2005	la guerre du liban - 3
4/05/2005	jean cremet 
1/05/2005	wennerstrom, l'espion suedois 
8/05/2005	le liberia 
4/06/2005	pierre goldman 
1/06/2005	le uss liberty 
8/06/2005	henri nanot 
5/06/2005	einstein harcele par le fbi 
2/07/2005	le docteur khan et la bombe pakistanaise - 1 (R)
9/07/2005	le docteur khan et la bombe pakistanaise - 2 (R)
6/07/2005	kaarlo tuomi (R)
0/07/2005	l'affaire louis hazan (R)
6/08/2005	le sentier lumineux (R)
3/08/2005	georges guingouin (R)
0/08/2005	dien bien phu (R)
7/08/2005	heinrich muller (R)
3/09/2005	le timor oriental, 1975 (R)
0/09/2005	oleksy 
7/09/2005	le printemps de prague 
4/09/2005	la revolution de velours 
1/10/2005	les loups gris turcs 
8/10/2005	l'espionnage chinois aux etats-unis 
5/10/2005	halabja - 1 (l'irak)
2/10/2005	les armes de destruction massive (irak, 2eme partie) 
9/10/2005	les affaires wilson et kelly (irak, 3eme partie) 
5/11/2005	l'assassinat de robert denoel 
2/11/2005	georges guingouin (R)
9/11/2005	le cameroun - 1 
6/11/2005	le cameroun - 2 
3/12/2005	tienanmen 
0/12/2005	wouter basson, le mengele sud-africain 
7/12/2005	ukraine : la revolution orange - 1 
4/12/2005	ukraine : la revolution orange - 2 
1/12/2005	politique et gangsterisme a marseille - 1 
7/01/2006	politique et gangsterisme a marseille - 2 
4/01/2006	paul touvier - 1 
1/01/2006	paul touvier - 2
8/01/2006	le cachemire - 1 
4/02/2006	le cachemire - 2 
1/02/2006	georges arnaud 
8/02/2006	l'ethiopie de haile selassie dit le negus 
5/02/2006	le SAC - 1
4/03/2006	le SAC - 2
1/03/2006	tchernobyl - 1 
8/03/2006	tchernobyl - 2 
5/03/2006	patricia hearst 
1/04/2006	jacques foccart - 1
8/04/2006	jacques foccart - 2
5/04/2006	le conspirationnisme 
2/04/2006	la mort d'un lieutenant-colonel 
9/04/2006	bloody sunday, 30 janvier 1972 
6/05/2006	mexico, octobre 1968 : le massacre de tlatelolco 
3/05/2006	roland farjon - 1
0/05/2006	roland farjon - 2
7/05/2006	yougoslavie : nationalisme et purification ethnique - 1 
3/06/2006	yougoslavie : nationalisme et purification ethnique - 2 
0/06/2006	yougoslavie : nationalisme et purification ethnique - 3
7/06/2006	la taupe vietnamienne 
4/06/2006	l'affaire umaru dikko 
1/07/2006	les loups gris turcs (R)
8/07/2006	assassinat de robert denoel, 2 decembre 1945 (R)
5/07/2006	politique et gangsterisme a marseille - 1 (R)
2/07/2006	politique et gangsterisme a marseille - 2 (R)
9/07/2006	wouter basson, le mengele sud-africain (R)
5/08/2006	georges arnaud (R)
2/08/2006	jacques foccart - 1 (R)
9/08/2006	jacques foccart - 2 (R)
6/08/2006	bloody sunday, 30 janvier 1972 (R)
2/09/2006	patricia hearst (R)
9/09/2006	tchad - 2 : l'affaire claustre (R)
6/09/2006	les tamouls du sri lanka 
3/09/2006	eugenio berrios : le chimiste de la dina - 1
0/09/2006	eugenio berrios : le chimiste de la dina - 2
7/10/2006	honduras-salvador, ete 1969, la "guerre du foot" 
4/10/2006	wolfgang vogel 
1/10/2006	l'affaire ogorodnik 
4/11/2006	mai 1945, les massacres de setif 
1/11/2006	quelques verites derangeantes sur 14-18 
8/11/2006	le trafic de drogue en afghanistan - 1 
5/11/2006	le trafic de drogue en afghanistan - 2 
2/12/2006	le darfour - 1 
9/12/2006	le darfour - 2 
6/12/2006	le rwanda 
3/12/2006	le projet neva 
0/12/2006	les attentats de buenos aires 
6/01/2007	17 octobre 61
3/01/2007	joseph fontanet 
0/01/2007	la guerre civile au salvador 
7/01/2007	halabja - 2 (le massacre des kurdes irakiens)
3/02/2007	le front de liberation du quebec 
0/02/2007	mars 2004, putsch rate des mercenaires en guinee equatoriale - 1 
7/02/2007	mars 2004, putsch rate des mercenaires en guinee equatoriale - 2
4/02/2007	edgar hoover - 1
3/03/2007	edgar hoover - 2
0/03/2007	1964, le putsch rate contre leon m'ba president du gabon 
7/03/2007	la bataille d'alger - 1
4/03/2007	la bataille d'alger - 2
1/03/2007	ouganda - 1 : idi amin dada 
7/04/2007	ouganda - 2 : l'armee de resistance du seigneur, de joseph kony 
4/04/2007	l'armee rouge japonaise 
1/04/2007	le tresor du parti communiste sovietique - 1 
8/04/2007	le tresor du parti communiste sovietique - 2 
5/05/2007	grigoulevitch 
2/05/2007	le retour du terrorisme en algerie 
9/05/2007	al qaida implante au sahara ? 
6/05/2007	13 mai 1981, l'attentat contre jean-paul ii 
2/06/2007	juin 1940 : les negociations secretes entre le pcf et les allemands 
9/06/2007	les karens 
6/06/2007	anthony blunt 
3/06/2007	retour sur l'affaire robert boulin 
0/06/2007	l'affaire umaru dikko (R)
7/07/2007	17 octobre 61 (R)
4/07/2007	eugenio berrios, le chimiste de la dina - 1 (R)
1/07/2007	eugenio berrios, le chimiste de la dina - 2 (R)
8/07/2007	wolfgang vogel (R)
4/08/2007	le projet neva (R)
1/08/2007	edgar hoover - 1 (R)
8/08/2007	edgar hoover - 2 (R)
5/08/2007	joseph fontanet (R)
1/09/2007	leon m'ba president du gabon (R)
8/09/2007	l'affaire jpk - 1
5/09/2007	l'affaire jpk - 2
2/09/2007	carlos - 1
9/09/2007	carlos - 2
6/10/2007	rebondissement dans l'affaire de lockerbie 
3/10/2007	le lsd et la cia 
0/10/2007	la rhodesie du sud
7/10/2007	le zimbabwe de mugabe
3/11/2007	avril 1964, putsch militaire au bresil
0/11/2007	1964-1985 : la dictature bresilienne
7/11/2007	poutine et le retour du kgb - 1 
4/11/2007	poutine et le retour du kgb - 2 
1/12/2007	la centrafrique ou la francafrique ? - 1 (M)
8/12/2007	la centrafrique ou la francafrique ? - 2
5/12/2007	l'iran, l'atome et les etats-unis 
2/12/2007	les ballets roses 
9/12/2007	les farc 
5/01/2008	l'affaire boyce/lee 
2/01/2008	les moudjahiddin du peuple 
9/01/2008	l'affaire gabriel aranda 
6/01/2008	la saga bhutto - 1 
2/02/2008	la saga bhutto - 2
9/02/2008	les paramilitaires colombiens 
6/02/2008	le plan colombie (R)
3/02/2008	le tchad (R)
1/03/2008	perou : fujimori et montesinos, le couple infernal 
8/03/2008	roger delpey, le tombeur de vge? 
5/03/2008	irving brown - 1
2/03/2008	irving brown - 2
9/03/2008	le tibet 
5/04/2008	le regne de la stasi - 1 
2/04/2008	le regne de la stasi - 2 
9/04/2008	le sahara occidental 
6/04/2008	1980, la pologne de solidarnosc
3/05/2008	l'etat de guerre en pologne, decembre 1981
0/05/2008	gotovina, criminel de guerre franco-croate 
7/05/2008	dominique erulin ou l'obsession de la cellule antiterroriste de l'elysee 
4/05/2008	la revolution culturelle chinoise - 1
1/05/2008	la revolution culturelle chinoise - 2
7/06/2008	les maos francais : la gauche proletarienne - 1 
4/06/2008	les maos francais : la gauche proletarienne - 2
1/06/2008	le massacre de beslan, septembre 2004 
8/06/2008	le front de liberation du quebec (R)
5/07/2008	mexico, octobre 1968 : le massacre de tlatelolco (R)
2/07/2008	les ballets roses (R)
9/07/2008	grigoulevitch (R)
6/07/2008	avril 1964, putsch militaire au bresil (R)
2/08/2008	1964-1985 : la dictature bresilienne (R)
9/08/2008	l'affaire boyce/lee (R)
6/08/2008	anthony blunt (R)
3/08/2008	l'armee rouge japonaise (R)
0/08/2008	le lsd et la cia (R)
6/09/2008	la georgie
3/09/2008	le niger - 1
0/09/2008	le niger - 2
7/09/2008	magda et gunter quandt - 1
4/10/2008	magda et gunter quandt - 2
1/10/2008	l'affaire mecili
8/10/2008	le carrefour du developpement
5/10/2008	le complot de la ricine
1/11/2008	le genocide rwandais et la france
8/11/2008	le chemin des dames
5/11/2008	la transnistrie - 1
2/11/2008	la transnistrie - 2
9/11/2008	l'affaire pietro tresso
6/12/2008	la papouasie occidentale annexee et pillee par l'indonesie
3/12/2008	la guerre en republique democratique du congo - 1
0/12/2008	la guerre en republique democratique du congo - 2
7/12/2008	cuba, octobre 1959, la mort de camilo cienfuegos
3/01/2009	jonas savimbi - 1
0/01/2009	jonas savimbi - 2
4/01/2009	l'affaire alexi
